Sample_Pair,Algorithm,Hamming,Clustered,Unclustered,Total,Ratio,Time_sec,Memory_MB,N_Clusters
NA12878_NA12879,INTERVAL_TREE,Yes,2541,0,2541,1.0,0.35741448402404785,0.0,1476
NA12878_NA12879,OVERLAP,No,2541,0,2541,1.0,2.660926103591919,0.0,1281
NA12878_NA12879,OVERLAP,Yes,2541,0,2541,1.0,2.770277500152588,0.0,1496
NA12878_NA12881,DBSCAN,No,616,1897,2513,0.24512534818941503,0.015740394592285156,0.0,274
NA12878_NA12881,DBSCAN,Yes,616,1897,2513,0.24512534818941503,0.051160573959350586,0.0,533
NA12878_NA12881,OPTICS,No,110,2403,2513,0.043772383605252686,0.25676488876342773,0.0,46
NA12878_NA12881,OPTICS,Yes,110,2403,2513,0.043772383605252686,0.2601902484893799,0.0,95
NA12878_NA12881,INTERVAL_TREE,No,2513,0,2513,1.0,0.2494359016418457,0.0,1248
NA12878_NA12881,INTERVAL_TREE,Yes,2513,0,2513,1.0,0.35253143310546875,0.0,1463
NA12878_NA12881,OVERLAP,No,2513,0,2513,1.0,2.602757215499878,0.0,1276
NA12878_NA12881,OVERLAP,Yes,2513,0,2513,1.0,2.710012197494507,0.0234375,1481
NA12878_NA12882,DBSCAN,No,646,1905,2551,0.253234025872207,0.016264677047729492,0.0,289
NA12878_NA12882,DBSCAN,Yes,646,1905,2551,0.253234025872207,0.05062246322631836,0.0,550
NA12878_NA12882,OPTICS,No,118,2433,2551,0.04625637005096041,0.26278066635131836,0.0,51
NA12878_NA12882,OPTICS,Yes,118,2433,2551,0.04625637005096041,0.26545071601867676,0.0,98
NA12878_NA12882,INTERVAL_TREE,No,2551,0,2551,1.0,0.2524831295013428,-0.25,1252
NA12878_NA12882,INTERVAL_TREE,Yes,2551,0,2551,1.0,0.35306501388549805,0.0,1477
NA12878_NA12882,OVERLAP,No,2551,0,2551,1.0,2.664780378341675,0.0,1280
NA12878_NA12882,OVERLAP,Yes,2551,0,2551,1.0,2.759584426879883,0.5,1494
NA12878_NA12885,DBSCAN,No,616,1893,2509,0.24551614188919887,0.016079187393188477,0.0,276
NA12878_NA12885,DBSCAN,Yes,616,1893,2509,0.24551614188919887,0.04967164993286133,0.0,529
NA12878_NA12885,OPTICS,No,97,2412,2509,0.038660821044240734,0.25061607360839844,0.0,43
NA12878_NA12885,OPTICS,Yes,97,2412,2509,0.038660821044240734,0.256150484085083,0.0,81
NA12878_NA12885,INTERVAL_TREE,No,2509,0,2509,1.0,0.2589840888977051,0.125,1252
NA12878_NA12885,INTERVAL_TREE,Yes,2509,0,2509,1.0,0.3345925807952881,0.0,1471
NA12878_NA12885,OVERLAP,No,2509,0,2509,1.0,2.5731611251831055,0.0,1281
NA12878_NA12885,OVERLAP,Yes,2509,0,2509,1.0,2.6604602336883545,0.0,1492
NA12878_NA12886,DBSCAN,No,642,1883,2525,0.25425742574257426,0.016788005828857422,0.0,288
NA12878_NA12886,DBSCAN,Yes,642,1883,2525,0.25425742574257426,0.04986286163330078,0.0,555
NA12878_NA12886,OPTICS,No,113,2412,2525,0.04475247524752475,0.2563047409057617,0.0,50
NA12878_NA12886,OPTICS,Yes,113,2412,2525,0.04475247524752475,0.26064586639404297,0.0,95
NA12878_NA12886,INTERVAL_TREE,No,2525,0,2525,1.0,0.24725699424743652,0.0,1249
NA12878_NA12886,INTERVAL_TREE,Yes,2525,0,2525,1.0,0.331650972366333,0.0,1468
NA12878_NA12886,OVERLAP,No,2525,0,2525,1.0,2.6098551750183105,0.0,1280
NA12878_NA12886,OVERLAP,Yes,2525,0,2525,1.0,2.700071334838867,0.0,1487
NA12879_NA12881,DBSCAN,No,630,1918,2548,0.24725274725274726,0.016316890716552734,0.0,282
NA12879_NA12881,DBSCAN,Yes,630,1918,2548,0.24725274725274726,0.05593466758728027,0.0,543
NA12879_NA12881,OPTICS,No,120,2428,2548,0.04709576138147567,0.25998997688293457,0.0,50
NA12879_NA12881,OPTICS,Yes,120,2428,2548,0.04709576138147567,0.2656869888305664,0.0,102
NA12879_NA12881,INTERVAL_TREE,No,2548,0,2548,1.0,0.2562437057495117,0.0,1229
NA12879_NA12881,INTERVAL_TREE,Yes,2548,0,2548,1.0,0.3578944206237793,0.0,1438
NA12879_NA12881,OVERLAP,No,2548,0,2548,1.0,2.6507298946380615,0.0,1253
NA12879_NA12881,OVERLAP,Yes,2548,0,2548,1.0,2.7502033710479736,0.0,1453
NA12879_NA12882,DBSCAN,No,660,1926,2586,0.2552204176334107,0.01703810691833496,0.0,297
NA12879_NA12882,DBSCAN,Yes,660,1926,2586,0.2552204176334107,0.05587911605834961,0.0,560
NA12879_NA12882,OPTICS,No,115,2471,2586,0.044470224284609436,0.26666975021362305,0.0,48
NA12879_NA12882,OPTICS,Yes,115,2471,2586,0.044470224284609436,0.27288031578063965,0.0,96
NA12879_NA12882,INTERVAL_TREE,No,2586,0,2586,1.0,0.25501418113708496,0.0,1245
NA12879_NA12882,INTERVAL_TREE,Yes,2586,0,2586,1.0,0.3525559902191162,0.0,1459
NA12879_NA12882,OVERLAP,No,2586,0,2586,1.0,2.7288806438446045,0.03125,1270
NA12879_NA12882,OVERLAP,Yes,2586,0,2586,1.0,2.836251974105835,0.0,1476
NA12879_NA12885,DBSCAN,No,630,1914,2544,0.24764150943396226,0.016364336013793945,0.0,284
NA12879_NA12885,DBSCAN,Yes,630,1914,2544,0.24764150943396226,0.05392026901245117,0.0,539
NA12879_NA12885,OPTICS,No,112,2432,2544,0.0440251572327044,0.26337623596191406,0.0,46
NA12879_NA12885,OPTICS,Yes,112,2432,2544,0.0440251572327044,0.26807618141174316,0.0,94
NA12879_NA12885,INTERVAL_TREE,No,2544,0,2544,1.0,0.2529420852661133,0.0,1208
NA12879_NA12885,INTERVAL_TREE,Yes,2544,0,2544,1.0,0.35104918479919434,0.0,1402
NA12879_NA12885,OVERLAP,No,2544,0,2544,1.0,2.741023540496826,0.0,1229
NA12879_NA12885,OVERLAP,Yes,2544,0,2544,1.0,2.743828535079956,0.0,1417
NA12879_NA12886,DBSCAN,No,656,1904,2560,0.25625,0.016741037368774414,0.0,296
NA12879_NA12886,DBSCAN,Yes,656,1904,2560,0.25625,0.05466127395629883,0.0,565
NA12879_NA12886,OPTICS,No,114,2446,2560,0.04453125,0.26438307762145996,0.0,49
NA12879_NA12886,OPTICS,Yes,114,2446,2560,0.04453125,0.2710275650024414,0.0,98
NA12879_NA12886,INTERVAL_TREE,No,2560,0,2560,1.0,0.2549412250518799,-0.23828125,1252
NA12879_NA12886,INTERVAL_TREE,Yes,2560,0,2560,1.0,0.35854482650756836,0.0,1470
NA12879_NA12886,OVERLAP,No,2560,0,2560,1.0,2.6792328357696533,0.0,1281
NA12879_NA12886,OVERLAP,Yes,2560,0,2560,1.0,2.7699522972106934,0.0,1489
NA12881_NA12882,DBSCAN,No,648,1910,2558,0.253322908522283,0.016524553298950195,0.0,289
NA12881_NA12882,DBSCAN,Yes,648,1910,2558,0.253322908522283,0.054964542388916016,0.0,557
NA12881_NA12882,OPTICS,No,121,2437,2558,0.04730258014073495,0.26503729820251465,0.0,51
NA12881_NA12882,OPTICS,Yes,121,2437,2558,0.04730258014073495,0.26938509941101074,0.0,104
NA12881_NA12882,INTERVAL_TREE,No,2558,0,2558,1.0,0.2556772232055664,0.00390625,1243
NA12881_NA12882,INTERVAL_TREE,Yes,2558,0,2558,1.0,0.36382579803466797,0.0,1457
NA12881_NA12882,OVERLAP,No,2558,0,2558,1.0,2.6744587421417236,0.0,1269
NA12881_NA12882,OVERLAP,Yes,2558,0,2558,1.0,2.7941370010375977,0.0,1474
NA12881_NA12885,DBSCAN,No,618,1898,2516,0.24562798092209856,0.01592087745666504,0.0,276
NA12881_NA12885,DBSCAN,Yes,618,1898,2516,0.24562798092209856,0.055547237396240234,0.0,536
NA12881_NA12885,OPTICS,No,112,2404,2516,0.04451510333863275,0.26445603370666504,0.0,48
NA12881_NA12885,OPTICS,Yes,112,2404,2516,0.04451510333863275,0.25896358489990234,0.0,96
NA12881_NA12885,INTERVAL_TREE,No,2516,0,2516,1.0,0.2506403923034668,0.0,1186
NA12881_NA12885,INTERVAL_TREE,Yes,2516,0,2516,1.0,0.3462681770324707,0.0,1381
NA12881_NA12885,OVERLAP,No,2516,0,2516,1.0,2.58864688873291,0.0,1208
NA12881_NA12885,OVERLAP,Yes,2516,0,2516,1.0,2.6880123615264893,0.0,1396
NA12881_NA12886,DBSCAN,No,644,1888,2532,0.25434439178515006,0.016559123992919922,0.0,288
NA12881_NA12886,DBSCAN,Yes,644,1888,2532,0.25434439178515006,0.054251670837402344,0.0,562
NA12881_NA12886,OPTICS,No,127,2405,2532,0.050157977883096366,0.26173877716064453,0.0,55
NA12881_NA12886,OPTICS,Yes,127,2405,2532,0.050157977883096366,0.26670169830322266,0.0,111
NA12881_NA12886,INTERVAL_TREE,No,2532,0,2532,1.0,0.2565486431121826,0.0,1182
NA12881_NA12886,INTERVAL_TREE,Yes,2532,0,2532,1.0,0.3458285331726074,0.0,1363
NA12881_NA12886,OVERLAP,No,2532,0,2532,1.0,2.6212828159332275,0.0,1204
NA12881_NA12886,OVERLAP,Yes,2532,0,2532,1.0,2.7341413497924805,0.0,1379
