Sample_Pair,Algorithm,Hamming,Clustered,Unclustered,Total,Ratio,Time_sec,Memory_MB,N_Clusters
NA12877_NA12878,DBSCAN,No,607,1903,2510,0.24183266932270917,0.040392398834228516,0.0,269
NA12877_NA12878,DBSCAN,Yes,607,1903,2510,0.24183266932270917,0.0668630599975586,0.0,522
NA12877_NA12878,OPTICS,No,105,2405,2510,0.04183266932270916,0.2954874038696289,0.0,45
NA12877_NA12878,OPTICS,Yes,105,2405,2510,0.04183266932270916,0.25779080390930176,0.0,88
NA12877_NA12878,INTERVAL_TREE,No,2510,0,2510,1.0,0.2670917510986328,1.7421875,1380
NA12877_NA12878,INTERVAL_TREE,Yes,2510,0,2510,1.0,0.34348249435424805,0.0,1684
NA12877_NA12878,OVERLAP,No,2510,0,2510,1.0,2.5572705268859863,0.0,1426
NA12877_NA12878,OVERLAP,Yes,2510,0,2510,1.0,2.6690468788146973,0.31640625,1706
NA12877_NA12879,DBSCAN,No,621,1924,2545,0.24400785854616897,0.016330718994140625,0.0,277
NA12877_NA12879,DBSCAN,Yes,621,1924,2545,0.24400785854616897,0.05322742462158203,0.0,532
NA12877_NA12879,OPTICS,No,91,2454,2545,0.03575638506876228,0.2565340995788574,0.0,39
NA12877_NA12879,OPTICS,Yes,91,2454,2545,0.03575638506876228,0.2605912685394287,0.0,78
NA12877_NA12879,INTERVAL_TREE,No,2545,0,2545,1.0,0.25453972816467285,0.00390625,1270
NA12877_NA12879,INTERVAL_TREE,Yes,2545,0,2545,1.0,0.337230920791626,0.0,1490
NA12877_NA12879,OVERLAP,No,2545,0,2545,1.0,2.707735300064087,0.0,1299
NA12877_NA12879,OVERLAP,Yes,2545,0,2545,1.0,2.727018117904663,0.09765625,1505
NA12877_NA12881,DBSCAN,No,609,1908,2517,0.24195470798569726,0.01633143424987793,0.0,269
NA12877_NA12881,DBSCAN,Yes,609,1908,2517,0.24195470798569726,0.05363631248474121,0.0,529
NA12877_NA12881,OPTICS,No,102,2415,2517,0.04052443384982122,0.2547142505645752,0.0,44
NA12877_NA12881,OPTICS,Yes,102,2415,2517,0.04052443384982122,0.2620217800140381,0.0,89
