Sample_Pair,Algorithm,Hamming,Clustered,Unclustered,Total,Ratio,Time_sec,Memory_MB,N_Clusters
NA12878_NA12882,DBSCAN,Yes,646,1905,2551,0.253234025872207,0.04968595504760742,0.0,550
NA12878_NA12882,OPTICS,No,118,2433,2551,0.04625637005096041,0.2618570327758789,0.0,51
NA12878_NA12882,OPTICS,Yes,118,2433,2551,0.04625637005096041,0.26604270935058594,0.0,98
NA12878_NA12882,INTERVAL_TREE,No,2551,0,2551,1.0,0.2500486373901367,0.00390625,1252
NA12878_NA12882,INTERVAL_TREE,Yes,2551,0,2551,1.0,0.34702324867248535,0.0,1477
NA12878_NA12882,OVERLAP,No,2551,0,2551,1.0,0.24802875518798828,0.140625,1252
NA12878_NA12882,OVERLAP,Yes,2551,0,2551,1.0,0.3456723690032959,0.0,1477
NA12878_NA12885,DBSCAN,No,616,1893,2509,0.24551614188919887,0.016153812408447266,0.0,276
NA12878_NA12885,DBSCAN,Yes,616,1893,2509,0.24551614188919887,0.04982328414916992,0.0,529
NA12878_NA12885,OPTICS,No,97,2412,2509,0.038660821044240734,0.2533688545227051,0.0,43
NA12878_NA12885,OPTICS,Yes,97,2412,2509,0.038660821044240734,0.257526159286499,0.0,81
NA12878_NA12885,INTERVAL_TREE,No,2509,0,2509,1.0,0.2449204921722412,0.00390625,1252
NA12878_NA12885,INTERVAL_TREE,Yes,2509,0,2509,1.0,0.3339564800262451,0.0,1471
NA12878_NA12885,OVERLAP,No,2509,0,2509,1.0,0.24373245239257812,0.0,1252
NA12878_NA12885,OVERLAP,Yes,2509,0,2509,1.0,0.3331418037414551,0.0,1471
NA12878_NA12886,DBSCAN,No,642,1883,2525,0.25425742574257426,0.01657867431640625,0.0,288
NA12878_NA12886,DBSCAN,Yes,642,1883,2525,0.25425742574257426,0.04911684989929199,0.0,555
NA12878_NA12886,OPTICS,No,113,2412,2525,0.04475247524752475,0.25539660453796387,0.0,50
NA12878_NA12886,OPTICS,Yes,113,2412,2525,0.04475247524752475,0.2614452838897705,0.0,95
NA12878_NA12886,INTERVAL_TREE,No,2525,0,2525,1.0,0.24502229690551758,0.0,1249
NA12878_NA12886,INTERVAL_TREE,Yes,2525,0,2525,1.0,0.3275318145751953,0.0,1468
NA12878_NA12886,OVERLAP,No,2525,0,2525,1.0,0.2457869052886963,0.0,1249
NA12878_NA12886,OVERLAP,Yes,2525,0,2525,1.0,0.3276228904724121,0.0,1468
NA12879_NA12881,DBSCAN,No,630,1918,2548,0.24725274725274726,0.016313791275024414,0.0,282
NA12879_NA12881,DBSCAN,Yes,630,1918,2548,0.24725274725274726,0.055335283279418945,0.0,543
NA12879_NA12881,OPTICS,No,120,2428,2548,0.04709576138147567,0.2609696388244629,0.0,50
NA12879_NA12881,OPTICS,Yes,120,2428,2548,0.04709576138147567,0.26624417304992676,0.0,102
NA12879_NA12881,INTERVAL_TREE,No,2548,0,2548,1.0,0.2576453685760498,0.0078125,1229
NA12879_NA12881,INTERVAL_TREE,Yes,2548,0,2548,1.0,0.35163164138793945,0.0,1438
NA12879_NA12881,OVERLAP,No,2548,0,2548,1.0,0.2506368160247803,0.0,1229
NA12879_NA12881,OVERLAP,Yes,2548,0,2548,1.0,0.3500850200653076,0.0,1438
NA12879_NA12882,DBSCAN,No,660,1926,2586,0.2552204176334107,0.01708841323852539,0.0,297
NA12879_NA12882,DBSCAN,Yes,660,1926,2586,0.2552204176334107,0.05432009696960449,0.0,560
NA12879_NA12882,OPTICS,No,115,2471,2586,0.044470224284609436,0.2688305377960205,0.0,48
NA12879_NA12882,OPTICS,Yes,115,2471,2586,0.044470224284609436,0.2726747989654541,0.0,96
NA12879_NA12882,INTERVAL_TREE,No,2586,0,2586,1.0,0.25309276580810547,0.00390625,1245
NA12879_NA12882,INTERVAL_TREE,Yes,2586,0,2586,1.0,0.3451426029205322,0.0,1459
NA12879_NA12882,OVERLAP,No,2586,0,2586,1.0,0.2578847408294678,0.0,1245
NA12879_NA12882,OVERLAP,Yes,2586,0,2586,1.0,0.3456284999847412,0.0,1459
NA12879_NA12885,DBSCAN,No,630,1914,2544,0.24764150943396226,0.020310163497924805,0.0,284
NA12879_NA12885,DBSCAN,Yes,630,1914,2544,0.24764150943396226,0.053578853607177734,0.0,539
NA12879_NA12885,OPTICS,No,112,2432,2544,0.0440251572327044,0.2609589099884033,0.0,46
NA12879_NA12885,OPTICS,Yes,112,2432,2544,0.0440251572327044,0.26593565940856934,0.0,94
NA12879_NA12885,INTERVAL_TREE,No,2544,0,2544,1.0,0.24969077110290527,0.0078125,1208
NA12879_NA12885,INTERVAL_TREE,Yes,2544,0,2544,1.0,0.3428215980529785,0.0,1402
NA12879_NA12885,OVERLAP,No,2544,0,2544,1.0,0.2485337257385254,0.0,1208
NA12879_NA12885,OVERLAP,Yes,2544,0,2544,1.0,0.3427238464355469,0.0,1402
NA12879_NA12886,DBSCAN,No,656,1904,2560,0.25625,0.016901016235351562,0.0,296
NA12879_NA12886,DBSCAN,Yes,656,1904,2560,0.25625,0.05382370948791504,0.0,565
NA12879_NA12886,OPTICS,No,114,2446,2560,0.04453125,0.26221418380737305,0.0,49
NA12879_NA12886,OPTICS,Yes,114,2446,2560,0.04453125,0.26691365242004395,0.0,98
NA12879_NA12886,INTERVAL_TREE,No,2560,0,2560,1.0,0.24916934967041016,0.00390625,1252
NA12879_NA12886,INTERVAL_TREE,Yes,2560,0,2560,1.0,0.3489565849304199,0.0,1470
NA12879_NA12886,OVERLAP,No,2560,0,2560,1.0,0.2509450912475586,0.0,1252
NA12879_NA12886,OVERLAP,Yes,2560,0,2560,1.0,0.34665369987487793,0.0,1470
NA12881_NA12882,DBSCAN,No,648,1910,2558,0.253322908522283,0.016699552536010742,0.0,289
NA12881_NA12882,DBSCAN,Yes,648,1910,2558,0.253322908522283,0.054566383361816406,0.0,557
NA12881_NA12882,OPTICS,No,121,2437,2558,0.04730258014073495,0.2636580467224121,0.0,51
NA12881_NA12882,OPTICS,Yes,121,2437,2558,0.04730258014073495,0.267864465713501,0.0,104
NA12881_NA12882,INTERVAL_TREE,No,2558,0,2558,1.0,0.25191640853881836,0.0,1243
NA12881_NA12882,INTERVAL_TREE,Yes,2558,0,2558,1.0,0.35576367378234863,0.0,1457
NA12881_NA12882,OVERLAP,No,2558,0,2558,1.0,0.25326967239379883,0.19140625,1243
NA12881_NA12882,OVERLAP,Yes,2558,0,2558,1.0,0.3587496280670166,0.0,1457
NA12881_NA12885,DBSCAN,No,618,1898,2516,0.24562798092209856,0.0158841609954834,0.0,276
NA12881_NA12885,DBSCAN,Yes,618,1898,2516,0.24562798092209856,0.053165435791015625,0.0,536
NA12881_NA12885,OPTICS,No,112,2404,2516,0.04451510333863275,0.25403261184692383,0.0,48
NA12881_NA12885,OPTICS,Yes,112,2404,2516,0.04451510333863275,0.26024723052978516,0.0,96
NA12881_NA12885,INTERVAL_TREE,No,2516,0,2516,1.0,0.24518752098083496,0.01171875,1186
NA12881_NA12885,INTERVAL_TREE,Yes,2516,0,2516,1.0,0.34080934524536133,0.0,1381
NA12881_NA12885,OVERLAP,No,2516,0,2516,1.0,0.2444767951965332,0.0,1186
NA12881_NA12885,OVERLAP,Yes,2516,0,2516,1.0,0.33975672721862793,0.0,1381
NA12881_NA12886,DBSCAN,No,644,1888,2532,0.25434439178515006,0.01929616928100586,0.0,288
NA12881_NA12886,DBSCAN,Yes,644,1888,2532,0.25434439178515006,0.056446075439453125,0.0,562
NA12881_NA12886,OPTICS,No,127,2405,2532,0.050157977883096366,0.258497953414917,0.0,55
NA12881_NA12886,OPTICS,Yes,127,2405,2532,0.050157977883096366,0.2868502140045166,0.0,111
NA12881_NA12886,INTERVAL_TREE,No,2532,0,2532,1.0,0.2560133934020996,0.0,1182
NA12881_NA12886,INTERVAL_TREE,Yes,2532,0,2532,1.0,0.34360337257385254,0.0,1363
NA12881_NA12886,OVERLAP,No,2532,0,2532,1.0,0.24526453018188477,0.0,1182
NA12881_NA12886,OVERLAP,Yes,2532,0,2532,1.0,0.34864115715026855,0.0,1363
NA12882_NA12885,DBSCAN,No,648,1906,2554,0.25371965544244324,0.016345739364624023,0.0,291
NA12882_NA12885,DBSCAN,Yes,648,1906,2554,0.25371965544244324,0.053017616271972656,0.0,553
NA12882_NA12885,OPTICS,No,111,2443,2554,0.04346123727486296,0.25954246520996094,0.0,47
NA12882_NA12885,OPTICS,Yes,111,2443,2554,0.04346123727486296,0.2672994136810303,0.0,96
NA12882_NA12885,INTERVAL_TREE,No,2554,0,2554,1.0,0.246002197265625,0.0,1221
NA12882_NA12885,INTERVAL_TREE,Yes,2554,0,2554,1.0,0.33838677406311035,0.0,1428
NA12882_NA12885,OVERLAP,No,2554,0,2554,1.0,0.24508261680603027,0.0,1221
NA12882_NA12885,OVERLAP,Yes,2554,0,2554,1.0,0.33858585357666016,0.0,1428
NA12882_NA12886,DBSCAN,No,674,1896,2570,0.2622568093385214,0.017076969146728516,0.0,303
NA12882_NA12886,DBSCAN,Yes,674,1896,2570,0.2622568093385214,0.053740739822387695,0.0,579
NA12882_NA12886,OPTICS,No,129,2441,2570,0.05019455252918288,0.2664933204650879,0.0,56
NA12882_NA12886,OPTICS,Yes,129,2441,2570,0.05019455252918288,0.2732698917388916,0.0,112
NA12882_NA12886,INTERVAL_TREE,No,2570,0,2570,1.0,0.2501535415649414,0.0,1199
NA12882_NA12886,INTERVAL_TREE,Yes,2570,0,2570,1.0,0.3523108959197998,0.25,1399
NA12882_NA12886,OVERLAP,No,2570,0,2570,1.0,0.2489314079284668,-0.25,1199
NA12882_NA12886,OVERLAP,Yes,2570,0,2570,1.0,0.3424806594848633,0.0,1399
NA12885_NA12886,DBSCAN,No,644,1884,2528,0.254746835443038,0.02021336555480957,0.0,290
NA12885_NA12886,DBSCAN,Yes,644,1884,2528,0.254746835443038,0.05182075500488281,0.0,558
NA12885_NA12886,OPTICS,No,120,2408,2528,0.04746835443037975,0.2576260566711426,0.0,50
NA12885_NA12886,OPTICS,Yes,120,2408,2528,0.04746835443037975,0.2653846740722656,0.0,103
NA12885_NA12886,INTERVAL_TREE,No,2528,0,2528,1.0,0.2520883083343506,0.0,1166
NA12885_NA12886,INTERVAL_TREE,Yes,2528,0,2528,1.0,0.34470534324645996,0.0,1347
NA12885_NA12886,OVERLAP,No,2528,0,2528,1.0,0.252180814743042,0.0,1166
NA12885_NA12886,OVERLAP,Yes,2528,0,2528,1.0,0.3433964252471924,0.0,1347
