Sample_Pair,Algorithm,Hamming,Clustered,Unclustered,Total,Ratio,Time_sec,Memory_MB,N_Clusters
NA12877_NA12878,DBSCAN,No,607,1903,2510,0.24183266932270917,0.048271894454956055,0.0,269
NA12877_NA12878,DBSCAN,Yes,607,1903,2510,0.24183266932270917,0.06366300582885742,0.0,522
NA12877_NA12878,OPTICS,No,105,2405,2510,0.04183266932270916,0.26836466789245605,0.25,45
NA12877_NA12878,OPTICS,Yes,105,2405,2510,0.04183266932270916,0.2580106258392334,0.0,88
NA12877_NA12878,INTERVAL_TREE,No,2510,0,2510,1.0,0.2623724937438965,1.71484375,1380
NA12877_NA12878,INTERVAL_TREE,Yes,2510,0,2510,1.0,0.3416755199432373,0.0,1684
NA12877_NA12878,OVERLAP,No,2510,0,2510,1.0,0.26192688941955566,0.0,1380
NA12877_NA12878,OVERLAP,Yes,2510,0,2510,1.0,0.34914207458496094,0.0,1684
NA12877_NA12879,DBSCAN,No,621,1924,2545,0.24400785854616897,0.016526222229003906,0.0,277
NA12877_NA12879,DBSCAN,Yes,621,1924,2545,0.24400785854616897,0.05367541313171387,0.0,532
NA12877_NA12879,OPTICS,No,91,2454,2545,0.03575638506876228,0.2603151798248291,0.0,39
NA12877_NA12879,OPTICS,Yes,91,2454,2545,0.03575638506876228,0.26534461975097656,0.0,78
NA12877_NA12879,INTERVAL_TREE,No,2545,0,2545,1.0,0.24999070167541504,0.015625,1270
NA12877_NA12879,INTERVAL_TREE,Yes,2545,0,2545,1.0,0.34139108657836914,0.0,1490
NA12877_NA12879,OVERLAP,No,2545,0,2545,1.0,0.2458176612854004,0.0,1270
NA12877_NA12879,OVERLAP,Yes,2545,0,2545,1.0,0.35321521759033203,0.0,1490
NA12877_NA12881,DBSCAN,No,609,1908,2517,0.24195470798569726,0.016031980514526367,0.0,269
NA12877_NA12881,DBSCAN,Yes,609,1908,2517,0.24195470798569726,0.05474495887756348,0.0,529
NA12877_NA12881,OPTICS,No,102,2415,2517,0.04052443384982122,0.25672411918640137,0.03125,44
NA12877_NA12881,OPTICS,Yes,102,2415,2517,0.04052443384982122,0.261580228805542,0.0,89
NA12877_NA12881,INTERVAL_TREE,No,2517,0,2517,1.0,0.24789953231811523,0.0,1267
NA12877_NA12881,INTERVAL_TREE,Yes,2517,0,2517,1.0,0.34450578689575195,0.0,1496
NA12877_NA12881,OVERLAP,No,2517,0,2517,1.0,0.24683570861816406,0.0,1267
NA12877_NA12881,OVERLAP,Yes,2517,0,2517,1.0,0.3492927551269531,0.0,1496
NA12877_NA12882,DBSCAN,No,639,1916,2555,0.25009784735812135,0.016840696334838867,0.0,284
NA12877_NA12882,DBSCAN,Yes,639,1916,2555,0.25009784735812135,0.05380821228027344,0.0,546
NA12877_NA12882,OPTICS,No,98,2457,2555,0.038356164383561646,0.26938366889953613,0.0,41
NA12877_NA12882,OPTICS,Yes,98,2457,2555,0.038356164383561646,0.2682511806488037,0.0,85
NA12877_NA12882,INTERVAL_TREE,No,2555,0,2555,1.0,0.249603271484375,0.0,1257
NA12877_NA12882,INTERVAL_TREE,Yes,2555,0,2555,1.0,0.34107208251953125,0.0,1477
NA12877_NA12882,OVERLAP,No,2555,0,2555,1.0,0.24925780296325684,0.0,1257
NA12877_NA12882,OVERLAP,Yes,2555,0,2555,1.0,0.338245153427124,0.0,1477
NA12877_NA12885,DBSCAN,No,609,1904,2513,0.24233983286908078,0.015936613082885742,0.0,271
NA12877_NA12885,DBSCAN,Yes,609,1904,2513,0.24233983286908078,0.05079340934753418,0.0,525
NA12877_NA12885,OPTICS,No,94,2419,2513,0.03740549144448866,0.253587007522583,0.0,40
NA12877_NA12885,OPTICS,Yes,94,2419,2513,0.03740549144448866,0.25760912895202637,0.0,81
NA12877_NA12885,INTERVAL_TREE,No,2513,0,2513,1.0,0.2541215419769287,0.00390625,1256
NA12877_NA12885,INTERVAL_TREE,Yes,2513,0,2513,1.0,0.33384227752685547,0.0,1474
NA12877_NA12885,OVERLAP,No,2513,0,2513,1.0,0.243361234664917,0.0,1256
NA12877_NA12885,OVERLAP,Yes,2513,0,2513,1.0,0.3357729911804199,0.0,1474
NA12877_NA12886,DBSCAN,No,635,1894,2529,0.25108738631870303,0.01642322540283203,0.0,283
NA12877_NA12886,DBSCAN,Yes,635,1894,2529,0.25108738631870303,0.05138754844665527,0.0,551
NA12877_NA12886,OPTICS,No,105,2424,2529,0.04151838671411625,0.2584056854248047,0.0,46
NA12877_NA12886,OPTICS,Yes,105,2424,2529,0.04151838671411625,0.26271963119506836,0.0,93
NA12877_NA12886,INTERVAL_TREE,No,2529,0,2529,1.0,0.24834179878234863,0.0078125,1256
NA12877_NA12886,INTERVAL_TREE,Yes,2529,0,2529,1.0,0.33690476417541504,0.0,1488
NA12877_NA12886,OVERLAP,No,2529,0,2529,1.0,0.24789834022521973,0.0,1256
NA12877_NA12886,OVERLAP,Yes,2529,0,2529,1.0,0.3448770046234131,0.0,1488
NA12878_NA12879,DBSCAN,No,628,1913,2541,0.24714679260133807,0.016435861587524414,0.0,282
NA12878_NA12879,DBSCAN,Yes,628,1913,2541,0.24714679260133807,0.0507047176361084,0.0,536
NA12878_NA12879,OPTICS,No,105,2436,2541,0.04132231404958678,0.26093101501464844,0.0,45
NA12878_NA12879,OPTICS,Yes,105,2436,2541,0.04132231404958678,0.2637662887573242,0.0,87
NA12878_NA12879,INTERVAL_TREE,No,2541,0,2541,1.0,0.2499370574951172,0.09765625,1252
NA12878_NA12879,INTERVAL_TREE,Yes,2541,0,2541,1.0,0.33407068252563477,0.0,1476
NA12878_NA12879,OVERLAP,No,2541,0,2541,1.0,0.2448444366455078,0.0,1252
NA12878_NA12879,OVERLAP,Yes,2541,0,2541,1.0,0.33277177810668945,0.0,1476
NA12878_NA12881,DBSCAN,No,616,1897,2513,0.24512534818941503,0.015880823135375977,0.0,274
NA12878_NA12881,DBSCAN,Yes,616,1897,2513,0.24512534818941503,0.051093101501464844,0.0,533
NA12878_NA12881,OPTICS,No,110,2403,2513,0.043772383605252686,0.25422167778015137,0.0,46
NA12878_NA12881,OPTICS,Yes,110,2403,2513,0.043772383605252686,0.25897979736328125,0.0,95
NA12878_NA12881,INTERVAL_TREE,No,2513,0,2513,1.0,0.2427225112915039,0.02734375,1248
NA12878_NA12881,INTERVAL_TREE,Yes,2513,0,2513,1.0,0.34479546546936035,0.0,1463
NA12878_NA12881,OVERLAP,No,2513,0,2513,1.0,0.2490856647491455,0.078125,1248
NA12878_NA12881,OVERLAP,Yes,2513,0,2513,1.0,0.34382128715515137,0.0,1463
NA12878_NA12882,DBSCAN,No,646,1905,2551,0.253234025872207,0.016623497009277344,0.0,289
